est_id,study,profession,pop,group1,group2,h,rl_sm,n_creative,n_left_creative,n_right_creative,n_control,n_left_control,n_right_control,PL_creative,PL_control,es_type,lower,effect,upper,chi_sq,p,correction,method,notes,comparison,pref_success,include,exclude_rnr,model_obj,se,inv_var
32,byrne_1974,Music,Students,Instrumental musicians,General students,EHI,R/L,75,3,72,678,38,640,4,5.604719764011799,OR,0.22448198015374352,0.7017543859649122,2.202546553985697,0.1,0.7542617018025489,NA,Score,NA,SR/SL,preference,1,0,NA,0.5046175821174969,3.927129686690906
33,byrne_1974,Music,Students,Singers,General students,EHI,S/M,134,25,109,864,186,678,18.65671641791045,21.52777777777778,OR,0.5271876378043221,0.8360461675051791,1.3258527781706764,0.41,0.5198061829648812,NA,Score,NA,(SR+SL)/M,preference,1,0,NA,0.20374485109576584,24.089440615626195
34,byrne_1974,Music,Students,Instrumental musicians,General students,EHI,S/M,108,33,75,864,186,678,30.555555555555557,21.52777777777778,OR,1.0348756433080903,1.6038709677419356,2.488197011783406,3.98,0.04603635072716979,NA,Score,NA,(SR+SL)/M,preference,1,0,NA,0.37075205971612984,7.274997612514556
35,cosenza_1993,Art,Students,Fine Arts applicants,Non-art/music/ architecture applicants,EHI,R/L,31,4,27,10422,1190,9232,12.903225806451612,11.418153905200535,OR,0.4190883230167553,1.1493308434484906,3.1551400420117504,0,0.999999999999998,NA,Score,NA,SR/SL,preference,1,0,NA,0.6979852029365393,2.052615331177286
36,cosenza_1993,Architecture,Students,Architecture applicants,Non-art/music/ architecture applicants,EHI,R/L,347,42,305,10422,1190,9232,12.103746397694524,11.418153905200535,OR,0.7701931027665829,1.0683124397299906,1.4818250965663702,0.1,0.7573258350370756,NA,Score,NA,SR/SL,preference,1,0,NA,0.18154210980738672,30.342072612520827
37,cosenza_1993,Music,Students,Music applicants,Non-art/music/ architecture applicants,EHI,R/L,4,2,2,10422,1190,9232,50,11.418153905200535,OR,1.3678390739073836,7.757983193277311,44.00101179683704,2.69,0.10128337307504184,NA,Score,NA,SR/SL,preference,1,0,NA,10.876009217315904,0.00845397318661848
38,cosenza_1993,Art,Students,Fine Arts applicants,Non-art/music/ architecture applicants,EHI,S/M,51,20,31,16005,5583,10422,39.21568627450981,34.882849109653236,OR,0.6906362021304807,1.2043472985387669,2.100168527255386,0.25,0.6163549946233768,NA,Score,NA,(SR+SL)/M,preference,1,0,NA,0.3595811801245117,7.734034288675802
39,cosenza_1993,Architecture,Students,Architecture applicants,Non-art/music/ architecture applicants,EHI,S/M,526,179,347,16005,5583,10422,34.030418250950575,34.882849109653236,OR,0.8017066644557878,0.9629572276068612,1.1566407806148775,0.13,0.7209422627809424,NA,Score,NA,(SR+SL)/M,preference,1,0,NA,0.09054608119301295,121.97215083450833
40,cosenza_1993,Music,Students,Music applicants,Non-art/music/ architecture applicants,EHI,S/M,10,6,4,16005,5583,10422,60,34.882849109653236,OR,0.8486543958304549,2.800107469102633,9.238863166262046,1.78,0.18219520737120184,NA,Score,NA,(SR+SL)/M,preference,1,0,NA,2.140398710540727,0.21827833816021883
41,nlsy79,Architecture,Professionals,"Architects, except naval","Non-art, architecture, music",1i_2pt,R/L,9,0,9,5468,722,4746,0,13.204096561814191,OR,0,0,2.812404646828982,0.46,0.49847179896801425,NA,Score,NA,R/L,mix,1,0,NA,0.7174633485647879,1.9426768266858163
42,nlsy79,Art,Professionals,Artistic occupations,"Non-art, architecture, music",2i_2pt,R/L,43,2,41,5468,722,4746,4.651162790697675,13.204096561814191,OR,0.08534199049481972,0.32065400986419834,1.2047878593625108,2.04,0.15352888649019686,NA,Score,NA,R/L,mix,1,0,NA,0.2855781732975038,12.261679985479217
43,nlsy79,Music,Professionals,Musicians and composers,"Non-art, architecture, music",1i_2pt,R/L,12,0,12,5468,722,4746,0,13.204096561814191,OR,0,0,2.1089364487341977,0.85,0.35565505782487516,NA,Score,NA,R/L,mix,1,0,NA,0.5380038779715393,3.4548499326460194
